Record Length	2500	Points	-0,00025	-5600		Record Length	2500	Points	-0,00025	-0,072	
Sample Interval	2e-007	s	-0,0002498	-6000		Sample Interval	2e-007	s	-0,0002498	-0,072	
Trigger Point	1249,999899	Samples	-0,0002496	-5800		Trigger Point	1249,999899	Samples	-0,0002496	-0,072	
			-0,0002494	-5800					-0,0002494	-0,072	
			-0,0002492	-6200					-0,0002492	-0,088	
			-0,000249	-6000					-0,000249	-0,088	
Source	CH1		-0,0002488	-6000		Source	CH3		-0,0002488	-0,072	
Vertical Units	Volts		-0,0002486	-6400		Vertical Units	Volts		-0,0002486	-0,08	
Vertical Scale	5.00000024E3		-0,0002484	-6200		Vertical Scale	200.00000950E-3		-0,0002484	-0,064	
Vertical Offset	0		-0,0002482	-6000		Vertical Offset	0		-0,0002482	-0,064	
Horizontal Units	s		-0,000248	-6000		Horizontal Units	s		-0,000248	-0,08	
Horizontal Scale	50.00000058E-6		-0,0002478	-6000		Horizontal Scale	50.00000058E-6		-0,0002478	-0,072	
Pt Fmt	Y		-0,0002476	-6200		Pt Fmt	Y		-0,0002476	-0,064	
Yzero	0.0		-0,0002474	-6200		Yzero	0.0		-0,0002474	-0,056	
Probe Atten	1000,000000		-0,0002472	-6200		Probe Atten	1,000000		-0,0002472	-0,08	
			-0,000247	-6200					-0,000247	-0,072	
Note	TDS 2004B - 3:23:38 p. m.   13/6/2018		-0,0002468	-6200		Note	TDS 2004B - 3:23:38 p. m.   13/6/2018		-0,0002468	-0,072	
			-0,0002466	-6400					-0,0002466	-0,064	
			-0,0002464	-6200					-0,0002464	-0,08	
			-0,0002462	-6400					-0,0002462	-0,072	
			-0,000246	-6200					-0,000246	-0,064	
			-0,0002458	-6200					-0,0002458	-0,064	
			-0,0002456	-6400					-0,0002456	-0,056	
			-0,0002454	-6400					-0,0002454	-0,072	
			-0,0002452	-6200					-0,0002452	-0,056	
			-0,000245	-6400					-0,000245	-0,056	
			-0,0002448	-6200					-0,0002448	-0,056	
			-0,0002446	-6400					-0,0002446	-0,064	
			-0,0002444	-6400					-0,0002444	-0,064	
			-0,0002442	-6400					-0,0002442	-0,04	
			-0,000244	-6400					-0,000244	-0,056	
			-0,0002438	-6400					-0,0002438	-0,056	
			-0,0002436	-6400					-0,0002436	-0,048	
			-0,0002434	-6400					-0,0002434	-0,048	
			-0,0002432	-6400					-0,0002432	-0,048	
			-0,000243	-6600					-0,000243	-0,056	
			-0,0002428	-6400					-0,0002428	-0,056	
			-0,0002426	-6400					-0,0002426	-0,056	
			-0,0002424	-6600					-0,0002424	-0,056	
			-0,0002422	-6600					-0,0002422	-0,048	
			-0,000242	-6600					-0,000242	-0,04	
			-0,0002418	-6400					-0,0002418	-0,048	
			-0,0002416	-6200					-0,0002416	-0,032	
			-0,0002414	-6800					-0,0002414	-0,04	
			-0,0002412	-6600					-0,0002412	-0,04	
			-0,000241	-6800					-0,000241	-0,048	
			-0,0002408	-6400					-0,0002408	-0,048	
			-0,0002406	-6400					-0,0002406	-0,04	
			-0,0002404	-6600					-0,0002404	-0,032	
			-0,0002402	-6800					-0,0002402	-0,032	
			-0,00024	-6400					-0,00024	-0,032	
			-0,0002398	-6600					-0,0002398	-0,04	
			-0,0002396	-6600					-0,0002396	-0,048	
			-0,0002394	-6400					-0,0002394	-0,056	
			-0,0002392	-6400					-0,0002392	-0,04	
			-0,000239	-6800					-0,000239	-0,024	
			-0,0002388	-6600					-0,0002388	-0,024	
			-0,0002386	-6600					-0,0002386	-0,032	
			-0,0002384	-6600					-0,0002384	-0,032	
			-0,0002382	-6800					-0,0002382	-0,032	
