
"Time";"NO";"NO2";"CO";"NOx";"PumpFlow";
"10/19/2018 16:54:42";"0";"0";"0";"0";"103.0";
"10/19/2018 16:54:43";"0";"0";"0";"0";"103.0";
"10/19/2018 16:54:44";"0";"0";"0";"0";"103.0";
"10/19/2018 16:54:45";"0";"0";"0";"0";"103.0";
"10/19/2018 16:54:46";"0";"0";"0";"0";"103.0";
"10/19/2018 16:54:48";"0";"0";"0";"0";"103.1";
"10/19/2018 16:54:49";"0";"0";"0";"0";"103.2";
"10/19/2018 16:54:50";"0";"0";"0";"0";"103.3";
"10/19/2018 16:54:51";"0";"0";"0";"0";"103.3";
"10/19/2018 16:54:52";"0";"0";"0";"0";"103.4";
"10/19/2018 16:54:53";"0";"0";"0";"0";"103.4";
"10/19/2018 16:54:54";"0";"0";"0";"0";"103.4";
"10/19/2018 16:54:55";"0";"0";"0";"0";"103.4";
"10/19/2018 16:54:56";"0";"0";"0";"0";"103.4";
"10/19/2018 16:54:57";"0";"0";"0";"0";"103.3";
"10/19/2018 16:54:58";"0";"0";"0";"0";"103.3";
"10/19/2018 16:54:59";"0";"0";"0";"0";"103.3";
"10/19/2018 16:55:01";"0";"0";"0";"0";"103.4";
"10/19/2018 16:55:02";"0";"0";"0";"0";"103.4";
"10/19/2018 16:55:03";"0";"0";"0";"0";"103.5";
"10/19/2018 16:55:04";"0";"0";"0";"0";"103.5";
"10/19/2018 16:55:05";"0";"0";"0";"0";"103.5";
"10/19/2018 16:55:06";"0";"0";"0";"0";"103.4";
"10/19/2018 16:55:07";"0";"0";"0";"0";"103.4";
"10/19/2018 16:55:08";"0";"0";"0";"0";"103.5";
"10/19/2018 16:55:09";"0";"0";"0";"0";"103.5";
"10/19/2018 16:55:10";"0";"0";"0";"0";"103.3";
"10/19/2018 16:55:11";"0";"0";"0";"0";"102.8";
"10/19/2018 16:55:12";"0";"0";"0";"0";"101.7";
"10/19/2018 16:55:13";"0";"0";"0";"0";"100.4";
"10/19/2018 16:55:15";"0";"0";"0";"0";"98.5";
"10/19/2018 16:55:16";"0";"0";"0";"0";"96.4";
"10/19/2018 16:55:17";"0";"0";"0";"0";"92.3";
"10/19/2018 16:55:18";"0";"0";"0";"0";"90.5";
"10/19/2018 16:55:19";"0";"0";"0";"0";"88.6";
"10/19/2018 16:55:20";"0";"0";"0";"0";"87.0";
"10/19/2018 16:55:21";"0";"0";"0";"0";"85.3";
"10/19/2018 16:55:22";"0";"0";"0";"0";"83.8";
"10/19/2018 16:55:23";"0";"0";"0";"0";"82.3";
"10/19/2018 16:55:24";"0";"0";"0";"0";"81.0";
"10/19/2018 16:55:25";"0";"0";"2";"0";"79.5";
"10/19/2018 16:55:26";"0";"0";"2";"0";"78.2";
"10/19/2018 16:55:28";"0";"0";"1";"0";"76.9";
"10/19/2018 16:55:29";"0";"0";"1";"0";"75.6";
"10/19/2018 16:55:30";"0";"0";"2";"0";"73.3";
"10/19/2018 16:55:31";"0";"0";"0";"0";"72.2";
"10/19/2018 16:55:32";"0";"0";"0";"0";"71.1";
"10/19/2018 16:55:33";"0";"0";"0";"0";"70.0";
"10/19/2018 16:55:34";"0";"0";"0";"0";"68.9";
"10/19/2018 16:55:35";"0";"0";"0";"0";"68.0";
"10/19/2018 16:55:36";"0";"0";"0";"0";"66.9";
"10/19/2018 16:55:37";"0";"0";"0";"0";"66.0";
"10/19/2018 16:55:38";"0";"0";"0";"0";"65.0";
"10/19/2018 16:55:39";"0";"0";"0";"0";"64.1";
"10/19/2018 16:55:41";"0";"0";"0";"0";"63.1";
"10/19/2018 16:55:42";"0";"0";"0";"0";"62.2";
"10/19/2018 16:55:43";"0";"0";"0";"0";"60.6";
"10/19/2018 16:55:44";"0";"0";"0";"0";"59.9";
"10/19/2018 16:55:45";"0";"0";"0";"0";"59.1";
"10/19/2018 16:55:46";"0";"0";"0";"0";"58.4";
"10/19/2018 16:55:47";"0";"0";"0";"0";"57.8";
"10/19/2018 16:55:48";"0";"0";"0";"0";"57.1";
"10/19/2018 16:55:49";"0";"0";"0";"0";"56.4";
"10/19/2018 16:55:50";"0";"0";"0";"0";"55.8";
"10/19/2018 16:55:51";"0";"0";"0";"0";"55.2";
"10/19/2018 16:55:52";"0";"0";"0";"0";"54.6";
"10/19/2018 16:55:53";"0";"0";"0";"0";"54.0";
"10/19/2018 16:55:55";"0";"0";"0";"0";"53.4";
"10/19/2018 16:55:56";"0";"0";"0";"0";"52.8";
"10/19/2018 16:55:57";"0";"0";"0";"0";"51.7";
"10/19/2018 16:55:58";"0";"0";"0";"0";"51.2";
"10/19/2018 16:55:59";"0";"0";"0";"0";"50.7";
"10/19/2018 16:56:00";"0";"0";"0";"0";"50.1";
"10/19/2018 16:56:01";"0";"0";"0";"0";"49.6";
"10/19/2018 16:56:02";"0";"0";"0";"0";"49.1";
"10/19/2018 16:56:03";"0";"0";"0";"0";"48.6";
"10/19/2018 16:56:04";"0";"0";"0";"0";"48.2";
"10/19/2018 16:56:05";"0";"0";"0";"0";"47.8";
"10/19/2018 16:56:06";"0";"0";"0";"0";"47.3";
"10/19/2018 16:56:08";"0";"0";"0";"0";"46.9";
"10/19/2018 16:56:09";"0";"0";"0";"0";"46.4";
"10/19/2018 16:56:10";"0";"0";"0";"0";"45.6";
"10/19/2018 16:56:11";"0";"0";"0";"0";"45.2";
"10/19/2018 16:56:12";"0";"0";"0";"0";"44.9";
"10/19/2018 16:56:13";"0";"0";"0";"0";"44.5";
"10/19/2018 16:56:14";"0";"0";"0";"0";"44.1";
"10/19/2018 16:56:15";"0";"0";"0";"0";"43.7";
"10/19/2018 16:56:16";"0";"0";"0";"0";"43.3";
"10/19/2018 16:56:17";"0";"1";"0";"1";"42.9";
"10/19/2018 16:56:18";"0";"1";"0";"0";"42.6";
"10/19/2018 16:56:19";"0";"1";"0";"1";"42.2";
"10/19/2018 16:56:20";"0";"0";"0";"0";"41.8";
"10/19/2018 16:56:22";"0";"0";"0";"0";"41.6";
"10/19/2018 16:56:23";"0";"0";"0";"0";"41.2";
"10/19/2018 16:56:24";"0";"0";"0";"0";"40.6";
"10/19/2018 16:56:25";"0";"1";"0";"1";"40.3";
"10/19/2018 16:56:26";"0";"1";"0";"1";"40.0";
"10/19/2018 16:56:27";"0";"1";"0";"1";"39.8";
"10/19/2018 16:56:28";"0";"1";"0";"1";"39.5";
"10/19/2018 16:56:29";"0";"1";"0";"1";"39.2";
"10/19/2018 16:56:30";"0";"0";"0";"0";"39.0";
"10/19/2018 16:56:31";"0";"1";"0";"1";"38.8";
"10/19/2018 16:56:32";"0";"0";"0";"0";"38.5";
"10/19/2018 16:56:33";"0";"1";"0";"1";"38.3";
"10/19/2018 16:56:35";"0";"1";"0";"1";"38.1";
"10/19/2018 16:56:36";"0";"1";"0";"1";"37.8";
"10/19/2018 16:56:37";"0";"1";"0";"1";"37.3";
"10/19/2018 16:56:38";"0";"1";"0";"1";"37.1";
"10/19/2018 16:56:39";"0";"1";"0";"1";"36.9";
"10/19/2018 16:56:40";"0";"1";"0";"1";"36.6";
"10/19/2018 16:56:41";"0";"1";"0";"1";"36.4";
"10/19/2018 16:56:42";"0";"1";"0";"1";"36.2";
"10/19/2018 16:56:43";"0";"1";"0";"1";"35.9";
