
"Time";"NO";"NO2";"CO";"NOx";"PumpFlow";
"10/5/2018 15:43:54";"0";"0";"0";"0";"102.6";
"10/5/2018 15:43:55";"0";"0";"0";"0";"102.6";
"10/5/2018 15:43:56";"0";"0";"0";"0";"102.5";
"10/5/2018 15:43:57";"0";"0";"0";"0";"102.5";
"10/5/2018 15:47:46";"0";"0";"0";"0";"99.6";
"10/5/2018 15:47:47";"0";"0";"0";"0";"99.6";
"10/5/2018 15:47:48";"0";"0";"0";"0";"99.6";
"10/5/2018 15:47:49";"0";"0";"0";"0";"99.6";
"10/5/2018 15:47:50";"0";"0";"0";"0";"99.6";
"10/5/2018 15:47:52";"0";"0";"0";"0";"99.6";
"10/5/2018 15:47:53";"0";"0";"0";"0";"99.6";
"10/5/2018 15:47:54";"0";"0";"0";"0";"99.6";
"10/5/2018 15:47:55";"0";"0";"0";"0";"99.5";
"10/5/2018 15:47:56";"0";"0";"0";"0";"99.5";
"10/5/2018 15:47:57";"0";"0";"0";"0";"99.5";
"10/5/2018 15:47:58";"0";"0";"0";"0";"99.5";
"10/5/2018 15:47:59";"0";"0";"0";"0";"99.5";
"10/5/2018 15:48:00";"0";"0";"0";"0";"99.4";
"10/5/2018 15:48:01";"0";"0";"0";"0";"99.2";
"10/5/2018 15:48:02";"0";"0";"0";"0";"98.6";
"10/5/2018 15:48:04";"0";"0";"0";"0";"97.6";
"10/5/2018 15:48:05";"0";"0";"0";"0";"96.0";
"10/5/2018 15:48:06";"0";"0";"0";"0";"94.1";
"10/5/2018 15:48:07";"0";"0";"0";"0";"91.9";
"10/5/2018 15:48:08";"0";"0";"0";"0";"89.7";
"10/5/2018 15:48:09";"0";"0";"0";"0";"87.5";
"10/5/2018 15:48:10";"0";"0";"0";"0";"85.4";
"10/5/2018 15:48:11";"0";"0";"1";"0";"83.5";
"10/5/2018 15:48:12";"0";"0";"0";"0";"79.9";
"10/5/2018 15:48:13";"0";"0";"0";"0";"78.3";
"10/5/2018 15:48:14";"0";"0";"1";"0";"76.8";
"10/5/2018 15:48:15";"0";"0";"1";"0";"75.3";
"10/5/2018 15:48:17";"0";"0";"1";"0";"74.1";
"10/5/2018 15:48:18";"0";"0";"4";"0";"72.8";
"10/5/2018 15:48:19";"0";"0";"4";"0";"71.5";
"10/5/2018 15:48:20";"1";"2";"10";"2";"70.3";
"10/5/2018 15:48:21";"1";"3";"10";"4";"69.0";
"10/5/2018 15:48:22";"2";"4";"13";"6";"67.9";
"10/5/2018 15:48:23";"3";"5";"15";"8";"66.7";
"10/5/2018 15:48:24";"3";"6";"17";"9";"64.6";
"10/5/2018 15:48:25";"4";"8";"19";"12";"63.6";
"10/5/2018 15:48:26";"4";"9";"20";"13";"62.5";
"10/5/2018 15:48:28";"4";"10";"24";"14";"61.6";
"10/5/2018 15:48:29";"5";"11";"27";"15";"60.6";
"10/5/2018 15:48:30";"5";"11";"30";"16";"59.6";
"10/5/2018 15:48:31";"5";"12";"31";"17";"58.6";
"10/5/2018 15:48:32";"5";"13";"31";"18";"57.8";
"10/5/2018 15:48:33";"6";"14";"32";"20";"57.0";
"10/5/2018 15:48:34";"6";"15";"34";"21";"55.4";
"10/5/2018 15:48:35";"6";"15";"34";"21";"54.7";
"10/5/2018 15:48:36";"6";"16";"36";"22";"53.9";
"10/5/2018 15:48:37";"5";"16";"38";"21";"53.2";
"10/5/2018 15:48:39";"5";"16";"38";"21";"52.4";
"10/5/2018 15:48:40";"5";"17";"38";"22";"51.7";
"10/5/2018 15:48:41";"5";"17";"38";"22";"51.1";
"10/5/2018 15:48:42";"5";"17";"39";"22";"50.5";
"10/5/2018 15:48:43";"5";"18";"39";"22";"49.8";
"10/5/2018 15:48:44";"5";"18";"40";"23";"49.2";
"10/5/2018 15:48:45";"5";"18";"41";"23";"48.6";
"10/5/2018 15:48:46";"5";"18";"40";"23";"48.1";
"10/5/2018 15:48:47";"5";"18";"40";"23";"46.9";
"10/5/2018 15:48:48";"5";"18";"41";"23";"46.4";
"10/5/2018 15:48:49";"5";"18";"41";"23";"45.8";
"10/5/2018 15:48:50";"5";"19";"41";"24";"45.3";
"10/5/2018 15:48:52";"5";"19";"41";"24";"44.8";
"10/5/2018 15:48:53";"5";"19";"41";"24";"44.3";
"10/5/2018 15:48:54";"5";"19";"41";"24";"43.8";
"10/5/2018 15:48:55";"4";"19";"41";"23";"43.3";
"10/5/2018 15:48:56";"4";"19";"41";"23";"42.7";
"10/5/2018 15:48:57";"4";"19";"41";"23";"42.2";
"10/5/2018 15:48:58";"4";"19";"41";"23";"41.8";
"10/5/2018 15:48:59";"4";"19";"42";"23";"41.4";
"10/5/2018 15:49:00";"4";"19";"41";"23";"40.9";
"10/5/2018 15:49:01";"4";"19";"41";"23";"40.0";
"10/5/2018 15:49:02";"4";"19";"41";"23";"39.6";
"10/5/2018 15:49:03";"4";"19";"42";"23";"39.2";
"10/5/2018 15:49:04";"4";"19";"42";"23";"38.9";
"10/5/2018 15:49:06";"4";"19";"42";"23";"38.5";
"10/5/2018 15:49:07";"4";"19";"43";"23";"38.3";
"10/5/2018 15:49:08";"4";"19";"43";"23";"37.9";
"10/5/2018 15:49:09";"4";"20";"42";"24";"37.5";
"10/5/2018 15:49:10";"4";"20";"41";"23";"37.2";
"10/5/2018 15:49:11";"4";"20";"43";"24";"36.8";
"10/5/2018 15:49:12";"4";"20";"43";"24";"36.4";
"10/5/2018 15:49:13";"4";"20";"43";"24";"35.8";
"10/5/2018 15:49:14";"4";"20";"43";"24";"35.4";
"10/5/2018 15:49:15";"4";"20";"42";"24";"35.2";
"10/5/2018 15:49:16";"4";"19";"42";"23";"35.0";
"10/5/2018 15:49:18";"4";"19";"42";"23";"34.7";
"10/5/2018 15:49:19";"4";"20";"42";"24";"34.4";
"10/5/2018 15:49:20";"4";"20";"41";"24";"34.1";
