Record Length,2500,Points,-319.99999192E-6,8.600000408E3,,Record Length,2500,Points,-319.99999192E-6,36.00000218E-3,,Record Length,2500,Points,-319.99999192E-6,-79.999998212E-3,
Sample Interval,200.00000234E-9,s,-319.79999039E-6,8.600000408E3,,Sample Interval,200.00000234E-9,s,-319.79999039E-6,60.000002384E-3,,Sample Interval,200.00000234E-9,s,-319.79999039E-6,-159.99999642E-3,
Trigger Point,1.6000000E3,Samples,-319.59998887E-6,8.600000408E3,,Trigger Point,1.6000000E3,Samples,-319.59998887E-6,60.000002384E-3,,Trigger Point,1.6000000E3,Samples,-319.59998887E-6,-159.99999642E-3,
,,,-319.39998735E-6,8.400000399E3,,,,,-319.39998735E-6,44.00000349E-3,,,,,-319.39998735E-6,-79.999998212E-3,
,,,-319.19998582E-6,8.800000418E3,,,,,-319.19998582E-6,48.00000042E-3,,,,,-319.19998582E-6,-79.999998212E-3,
,,,-318.99998430E-6,8.600000408E3,,,,,-318.99998430E-6,40.00000283E-3,,,,,-318.99998430E-6,-79.999998212E-3,
Source,CH1,,-318.79998278E-6,8.600000408E3,,Source,CH3,,-318.79998278E-6,40.00000283E-3,,Source,CH4,,-318.79998278E-6,-159.99999642E-3,
Vertical Units,Volts,,-318.59998126E-6,8.400000399E3,,Vertical Units,Volts,,-318.59998126E-6,28.00000086E-3,,Vertical Units,Volts,,-318.59998126E-6,-79.999998212E-3,
Vertical Scale,5.00000024E3,,-318.39997973E-6,8.400000399E3,,Vertical Scale,100.0000047E-3,,-318.39997973E-6,36.00000218E-3,,Vertical Scale,2.0000000,,-318.39997973E-6,-159.99999642E-3,
Vertical Offset,0,,-318.19997821E-6,8.800000418E3,,Vertical Offset,0,,-318.19997821E-6,32.00000152E-3,,Vertical Offset,0,,-318.19997821E-6,-79.999998212E-3,
Horizontal Units,s,,-318.00000579E-6,8.800000418E3,,Horizontal Units,s,,-318.00000579E-6,24.00000021E-3,,Horizontal Units,s,,-318.00000579E-6,-159.99999642E-3,
Horizontal Scale,50.00000058E-6,,-317.80000427E-6,8.600000408E3,,Horizontal Scale,50.00000058E-6,,-317.80000427E-6,40.00000283E-3,,Horizontal Scale,50.00000058E-6,,-317.80000427E-6,-159.99999642E-3,
Pt Fmt,Y,,-317.60000275E-6,8.400000399E3,,Pt Fmt,Y,,-317.60000275E-6,48.00000042E-3,,Pt Fmt,Y,,-317.60000275E-6,-239.99999464E-3,
Yzero,80.000000000E-3,,-317.40000122E-6,8.400000399E3,,Yzero,-1.9200000,,-317.40000122E-6,36.00000218E-3,,Yzero,-760.000000000E-3,,-317.40000122E-6,-239.99999464E-3,
Probe Atten,1.0000000E3,,-317.19999970E-6,8.600000408E3,,Probe Atten,1.000000,,-317.19999970E-6,32.00000152E-3,,Probe Atten,10.0000000,,-317.19999970E-6,-239.99999464E-3,
,,,-316.99999818E-6,8.400000399E3,,,,,-316.99999818E-6,28.00000086E-3,,,,,-316.99999818E-6,-239.99999464E-3,
Note,TDS 2004B - 4:06:16 p. m.   21/8/2018,,-316.79999665E-6,8.600000408E3,,Note,TDS 2004B - 4:06:16 p. m.   21/8/2018,,-316.79999665E-6,24.00000021E-3,,Note,TDS 2004B - 4:06:16 p. m.   21/8/2018,,-316.79999665E-6,-319.99999285E-3,
,,,-316.59999513E-6,8.400000399E3,,,,,-316.59999513E-6,40.00000283E-3,,,,,-316.59999513E-6,-239.99999464E-3,
,,,-316.39999361E-6,8.600000408E3,,,,,-316.39999361E-6,40.00000283E-3,,,,,-316.39999361E-6,-399.99997616E-3,
,,,-316.19999208E-6,8.600000408E3,,,,,-316.19999208E-6,52.00000107E-3,,,,,-316.19999208E-6,-159.99999642E-3,
,,,-315.99999056E-6,8.400000399E3,,,,,-315.99999056E-6,48.00000042E-3,,,,,-315.99999056E-6,-319.99999285E-3,
,,,-315.79998904E-6,8.200000389E3,,,,,-315.79998904E-6,36.00000218E-3,,,,,-315.79998904E-6,-239.99999464E-3,
,,,-315.59998752E-6,8.600000408E3,,,,,-315.59998752E-6,32.00000152E-3,,,,,-315.59998752E-6,-319.99999285E-3,
,,,-315.39998599E-6,8.400000399E3,,,,,-315.39998599E-6,28.00000086E-3,,,,,-315.39998599E-6,-399.99997616E-3,
