
"Time";"NO";"NO2";"CO";"NOx";"PumpFlow";
"9/28/2018 16:38:08";"511";"0";"2";"511";"92.0";
"9/28/2018 16:38:09";"511";"0";"2";"511";"92.0";
"9/28/2018 16:38:10";"511";"0";"2";"511";"92.0";
"9/28/2018 16:38:11";"511";"0";"1";"511";"92.0";
"9/28/2018 16:38:12";"511";"0";"1";"511";"92.0";
"9/28/2018 16:38:13";"511";"0";"1";"511";"92.0";
"9/28/2018 16:38:15";"511";"0";"2";"511";"92.0";
"9/28/2018 16:38:16";"511";"0";"2";"511";"92.0";
"9/28/2018 16:38:17";"511";"0";"1";"511";"91.9";
"9/28/2018 16:38:18";"511";"0";"1";"511";"91.9";
"9/28/2018 16:38:19";"511";"0";"1";"511";"91.8";
"9/28/2018 16:38:20";"512";"0";"1";"512";"91.8";
"9/28/2018 16:38:21";"512";"0";"1";"512";"91.8";
"9/28/2018 16:38:22";"512";"0";"1";"512";"91.8";
"9/28/2018 16:38:23";"512";"0";"0";"512";"91.8";
"9/28/2018 16:38:24";"511";"0";"0";"511";"91.8";
"9/28/2018 16:38:26";"511";"0";"0";"511";"91.8";
"9/28/2018 16:38:27";"511";"0";"0";"511";"91.7";
"9/28/2018 16:38:28";"511";"0";"0";"511";"91.7";
"9/28/2018 16:38:29";"511";"0";"0";"511";"91.7";
"9/28/2018 16:38:30";"511";"0";"0";"511";"91.7";
"9/28/2018 16:38:31";"510";"0";"0";"510";"91.7";
"9/28/2018 16:38:32";"510";"0";"0";"510";"91.7";
"9/28/2018 16:38:33";"510";"0";"2";"510";"91.7";
"9/28/2018 16:38:34";"510";"0";"3";"510";"91.8";
"9/28/2018 16:38:35";"510";"0";"3";"510";"91.8";
"9/28/2018 16:38:37";"510";"0";"3";"510";"91.9";
"9/28/2018 16:38:38";"511";"0";"3";"511";"91.9";
"9/28/2018 16:38:39";"511";"0";"3";"511";"91.9";
"9/28/2018 16:38:40";"512";"0";"3";"512";"92.0";
"9/28/2018 16:38:41";"512";"0";"3";"512";"92.0";
"9/28/2018 16:38:42";"512";"0";"3";"512";"92.0";
"9/28/2018 16:38:43";"513";"0";"3";"513";"92.1";
"9/28/2018 16:38:44";"513";"0";"3";"513";"92.1";
"9/28/2018 16:38:45";"514";"0";"2";"514";"92.1";
"9/28/2018 16:38:46";"514";"0";"2";"514";"92.1";
"9/28/2018 16:38:48";"514";"0";"1";"514";"92.1";
"9/28/2018 16:38:49";"514";"0";"1";"514";"92.1";
"9/28/2018 16:38:50";"515";"0";"0";"515";"92.1";
"9/28/2018 16:38:51";"515";"0";"0";"515";"92.1";
"9/28/2018 16:38:52";"515";"0";"0";"515";"92.1";
"9/28/2018 16:38:53";"515";"0";"0";"515";"92.1";
"9/28/2018 16:38:54";"515";"0";"0";"515";"92.1";
"9/28/2018 16:38:55";"514";"0";"1";"514";"92.1";
"9/28/2018 16:38:56";"514";"0";"2";"514";"92.1";
"9/28/2018 16:38:58";"514";"0";"3";"514";"92.1";
"9/28/2018 16:38:59";"514";"0";"3";"514";"92.0";
"9/28/2018 16:39:00";"514";"0";"3";"514";"92.0";
"9/28/2018 16:39:01";"513";"0";"3";"513";"91.9";
"9/28/2018 16:39:02";"513";"0";"3";"513";"91.9";
"9/28/2018 16:39:03";"513";"0";"3";"513";"91.9";
"9/28/2018 16:39:04";"513";"0";"3";"513";"91.9";
"9/28/2018 16:39:05";"513";"0";"3";"513";"91.9";
"9/28/2018 16:39:06";"513";"0";"3";"513";"91.8";
"9/28/2018 16:39:08";"513";"0";"3";"513";"91.9";
"9/28/2018 16:39:09";"512";"0";"3";"512";"91.9";
"9/28/2018 16:39:10";"512";"0";"2";"512";"91.9";
"9/28/2018 16:39:11";"512";"0";"3";"512";"91.9";
"9/28/2018 16:39:12";"511";"0";"2";"511";"91.9";
"9/28/2018 16:39:13";"511";"0";"1";"511";"91.9";
"9/28/2018 16:39:14";"511";"0";"0";"511";"91.9";
"9/28/2018 16:39:15";"510";"0";"0";"510";"91.9";
"9/28/2018 16:39:16";"510";"0";"0";"510";"91.9";
"9/28/2018 16:39:17";"509";"0";"0";"510";"91.9";
"9/28/2018 16:39:18";"509";"0";"0";"509";"91.9";
"9/28/2018 16:39:20";"508";"0";"0";"508";"91.9";
"9/28/2018 16:39:21";"508";"0";"1";"508";"92.0";
"9/28/2018 16:39:22";"507";"0";"1";"507";"91.9";
"9/28/2018 16:39:23";"507";"0";"3";"507";"91.8";
"9/28/2018 16:39:24";"506";"0";"3";"506";"91.8";
"9/28/2018 16:39:25";"506";"0";"3";"506";"91.7";
"9/28/2018 16:39:26";"506";"0";"3";"506";"91.7";
"9/28/2018 16:39:27";"505";"0";"3";"505";"91.7";
"9/28/2018 16:39:28";"504";"0";"3";"504";"91.7";
"9/28/2018 16:39:29";"503";"0";"3";"504";"91.7";
"9/28/2018 16:39:30";"503";"0";"3";"503";"91.7";
"9/28/2018 16:39:32";"503";"0";"3";"503";"91.8";
"9/28/2018 16:39:33";"502";"0";"3";"502";"91.9";
"9/28/2018 16:39:34";"502";"0";"3";"502";"91.8";
"9/28/2018 16:39:35";"501";"0";"3";"501";"91.8";
"9/28/2018 16:39:36";"501";"0";"3";"501";"91.8";
"9/28/2018 16:39:37";"501";"0";"3";"501";"91.8";
"9/28/2018 16:39:38";"500";"0";"1";"500";"91.8";
"9/28/2018 16:39:39";"499";"0";"0";"499";"91.8";
"9/28/2018 16:39:40";"498";"0";"0";"499";"91.8";
"9/28/2018 16:39:41";"497";"0";"0";"497";"91.8";
"9/28/2018 16:39:43";"497";"0";"0";"497";"91.8";
"9/28/2018 16:39:44";"496";"0";"0";"496";"91.8";
