Record Length,2500,Points,-11.0999998E-3,600.000000000,,Record Length,2500,Points,-11.0999998E-3,-4.00000019E-3,,Record Length,2500,Points,-11.0999998E-3,0.0,
Sample Interval,19.9999995E-6,s,-11.0799996E-3,800.000000000,,Sample Interval,19.9999995E-6,s,-11.0799996E-3,4.00000019E-3,,Sample Interval,19.9999995E-6,s,-11.0799996E-3,0.0,
Trigger Point,555.000002547,Samples,-11.0599995E-3,400.00000000,,Trigger Point,555.000002547,Samples,-11.0599995E-3,0.0,,Trigger Point,555.000002547,Samples,-11.0599995E-3,0.0,
,,,-11.0399993E-3,600.000000000,,,,,-11.0399993E-3,0.0,,,,,-11.0399993E-3,0.0,
,,,-11.0200001E-3,400.00000000,,,,,-11.0200001E-3,-4.00000019E-3,,,,,-11.0200001E-3,0.0,
,,,-10.9999999E-3,600.000000000,,,,,-10.9999999E-3,0.0,,,,,-10.9999999E-3,0.0,
Source,CH1,,-10.9799998E-3,400.00000000,,Source,CH3,,-10.9799998E-3,-4.00000019E-3,,Source,CH4,,-10.9799998E-3,0.0,
Vertical Units,Volts,,-10.9599996E-3,600.000000000,,Vertical Units,Volts,,-10.9599996E-3,0.0,,Vertical Units,Volts,,-10.9599996E-3,0.0,
Vertical Scale,5.00000024E3,,-10.9399995E-3,400.00000000,,Vertical Scale,100.0000047E-3,,-10.9399995E-3,-4.00000019E-3,,Vertical Scale,200.00000950E-3,,-10.9399995E-3,0.0,
Vertical Offset,0,,-10.9199993E-3,600.000000000,,Vertical Offset,0,,-10.9199993E-3,0.0,,Vertical Offset,0,,-10.9199993E-3,0.0,
Horizontal Units,s,,-10.9000001E-3,200.00000000,,Horizontal Units,s,,-10.9000001E-3,-4.00000019E-3,,Horizontal Units,s,,-10.9000001E-3,0.0,
Horizontal Scale,4.99999987E-3,,-10.8800000E-3,400.00000000,,Horizontal Scale,4.99999987E-3,,-10.8800000E-3,0.0,,Horizontal Scale,4.99999987E-3,,-10.8800000E-3,0.0,
Pt Fmt,Y,,-10.8599998E-3,200.00000000,,Pt Fmt,Y,,-10.8599998E-3,0.0,,Pt Fmt,Y,,-10.8599998E-3,0.0,
Yzero,40.00000000E-3,,-10.8399997E-3,400.00000000,,Yzero,-2.0000000,,-10.8399997E-3,0.0,,Yzero,0.0,,-10.8399997E-3,0.0,
Probe Atten,1.0000000E3,,-10.8199995E-3,200.00000000,,Probe Atten,1.000000,,-10.8199995E-3,-4.00000019E-3,,Probe Atten,1.000000,,-10.8199995E-3,0.0,
,,,-10.7999993E-3,400.00000000,,,,,-10.7999993E-3,0.0,,,,,-10.7999993E-3,0.0,
Note,TDS 2004B - 2:50:45 p. m.   24/8/2018,,-10.7800001E-3,0.0,,Note,TDS 2004B - 2:50:45 p. m.   24/8/2018,,-10.7800001E-3,-4.00000019E-3,,Note,TDS 2004B - 2:50:45 p. m.   24/8/2018,,-10.7800001E-3,0.0,
,,,-10.7600000E-3,200.00000000,,,,,-10.7600000E-3,0.0,,,,,-10.7600000E-3,0.0,
,,,-10.7399998E-3,0.0,,,,,-10.7399998E-3,-4.00000019E-3,,,,,-10.7399998E-3,0.0,
,,,-10.7199997E-3,200.00000000,,,,,-10.7199997E-3,0.0,,,,,-10.7199997E-3,8.000000380E-3,
,,,-10.6999995E-3,0.0,,,,,-10.6999995E-3,-4.00000019E-3,,,,,-10.6999995E-3,0.0,
,,,-10.6799994E-3,200.00000000,,,,,-10.6799994E-3,4.00000019E-3,,,,,-10.6799994E-3,8.000000380E-3,
,,,-10.6600001E-3,-200.00000000,,,,,-10.6600001E-3,-4.00000019E-3,,,,,-10.6600001E-3,0.0,
,,,-10.6400000E-3,0.0,,,,,-10.6400000E-3,0.0,,,,,-10.6400000E-3,0.0,
,,,-10.6199998E-3,-200.00000000,,,,,-10.6199998E-3,0.0,,,,,-10.6199998E-3,0.0,
,,,-10.5999997E-3,0.0,,,,,-10.5999997E-3,0.0,,,,,-10.5999997E-3,0.0,
,,,-10.5799995E-3,-200.00000000,,,,,-10.5799995E-3,-4.00000019E-3,,,,,-10.5799995E-3,0.0,
,,,-10.5599994E-3,0.0,,,,,-10.5599994E-3,0.0,,,,,-10.5599994E-3,0.0,
,,,-10.5400002E-3,-400.00000000,,,,,-10.5400002E-3,0.0,,,,,-10.5400002E-3,0.0,
,,,-10.5200000E-3,-200.00000000,,,,,-10.5200000E-3,0.0,,,,,-10.5200000E-3,0.0,
,,,-10.4999999E-3,-400.00000000,,,,,-10.4999999E-3,-4.00000019E-3,,,,,-10.4999999E-3,0.0,
,,,-10.4799997E-3,-200.00000000,,,,,-10.4799997E-3,0.0,,,,,-10.4799997E-3,8.000000380E-3,
