
"Time";"NO";"NO2";"CO";"NOx";"PumpFlow";
"10/22/2018 16:02:26";"0";"603";"60";"603";"58.7";
"10/22/2018 16:02:27";"0";"605";"60";"605";"60.6";
"10/22/2018 16:02:28";"0";"607";"60";"607";"63.3";
"10/22/2018 16:02:29";"0";"610";"60";"610";"66.7";
"10/22/2018 16:02:30";"0";"614";"60";"614";"74.4";
"10/22/2018 16:02:31";"0";"619";"60";"619";"78.2";
"10/22/2018 16:02:32";"0";"625";"60";"625";"81.5";
"10/22/2018 16:02:33";"0";"625";"60";"625";"84.5";
"10/22/2018 16:02:34";"0";"632";"60";"632";"87.1";
"10/22/2018 16:02:36";"0";"640";"60";"640";"89.7";
"10/22/2018 16:02:37";"0";"647";"60";"647";"92.2";
"10/22/2018 16:02:38";"0";"663";"60";"655";"94.7";
"10/22/2018 16:02:39";"0";"669";"59";"663";"96.9";
"10/22/2018 16:02:40";"0";"674";"59";"674";"98.8";
"10/22/2018 16:02:41";"0";"676";"60";"676";"100.2";
"10/22/2018 16:02:42";"0";"676";"60";"676";"101.3";
"10/22/2018 16:02:43";"0";"671";"60";"671";"102.2";
"10/22/2018 16:02:44";"0";"661";"60";"661";"102.2";
"10/22/2018 16:02:45";"0";"647";"60";"647";"102.2";
"10/22/2018 16:02:46";"0";"647";"60";"647";"102.0";
"10/22/2018 16:02:47";"0";"607";"60";"607";"101.7";
"10/22/2018 16:02:49";"0";"607";"60";"607";"101.5";
"10/22/2018 16:02:50";"0";"581";"60";"581";"101.2";
"10/22/2018 16:02:51";"0";"521";"60";"552";"101.0";
"10/22/2018 16:02:52";"0";"489";"59";"489";"100.7";
"10/22/2018 16:02:53";"0";"456";"57";"456";"100.6";
"10/22/2018 16:02:54";"0";"423";"57";"423";"100.4";
"10/22/2018 16:02:55";"0";"391";"56";"391";"100.2";
"10/22/2018 16:02:56";"0";"361";"56";"361";"100.1";
"10/22/2018 16:02:57";"1";"333";"54";"334";"100.0";
"10/22/2018 16:02:58";"2";"307";"53";"309";"99.9";
"10/22/2018 16:02:59";"4";"307";"52";"311";"99.8";
"10/22/2018 16:03:00";"4";"267";"52";"271";"99.7";
"10/22/2018 16:03:02";"6";"253";"50";"259";"99.7";
"10/22/2018 16:03:03";"9";"242";"49";"251";"99.7";
"10/22/2018 16:03:04";"12";"242";"48";"254";"99.7";
"10/22/2018 16:03:05";"18";"229";"48";"247";"99.8";
"10/22/2018 16:03:06";"21";"226";"47";"247";"99.8";
"10/22/2018 16:03:07";"25";"224";"45";"249";"99.8";
"10/22/2018 16:03:08";"29";"224";"45";"253";"99.7";
"10/22/2018 16:03:09";"33";"225";"45";"258";"99.7";
"10/22/2018 16:03:10";"37";"226";"44";"263";"99.7";
"10/22/2018 16:03:11";"41";"227";"44";"268";"99.6";
"10/22/2018 16:03:12";"41";"227";"44";"268";"99.6";
"10/22/2018 16:03:13";"48";"229";"42";"277";"99.5";
"10/22/2018 16:03:15";"48";"230";"42";"278";"99.5";
"10/22/2018 16:03:16";"51";"230";"41";"281";"99.4";
"10/22/2018 16:03:17";"57";"230";"41";"285";"99.4";
"10/22/2018 16:03:18";"60";"230";"40";"290";"99.3";
"10/22/2018 16:03:19";"62";"229";"39";"291";"99.3";
"10/22/2018 16:03:20";"65";"229";"39";"294";"99.2";
"10/22/2018 16:03:21";"67";"228";"39";"295";"99.1";
"10/22/2018 16:03:22";"68";"227";"39";"295";"98.8";
"10/22/2018 16:03:23";"70";"226";"38";"296";"98.7";
"10/22/2018 16:03:24";"73";"225";"38";"298";"98.6";
"10/22/2018 16:03:25";"73";"225";"38";"298";"98.5";
"10/22/2018 16:03:26";"77";"223";"37";"300";"98.4";
"10/22/2018 16:03:28";"80";"221";"37";"301";"98.3";
"10/22/2018 16:03:29";"82";"220";"37";"302";"98.3";
"10/22/2018 16:03:30";"86";"217";"35";"301";"98.3";
"10/22/2018 16:03:31";"89";"216";"35";"305";"98.3";
"10/22/2018 16:03:32";"92";"216";"36";"308";"98.3";
"10/22/2018 16:03:33";"96";"214";"36";"310";"98.2";
"10/22/2018 16:03:34";"100";"212";"36";"312";"98.2";
"10/22/2018 16:03:35";"104";"211";"36";"315";"98.1";
"10/22/2018 16:03:36";"108";"210";"36";"318";"98.1";
"10/22/2018 16:03:37";"113";"208";"36";"321";"98.0";
"10/22/2018 16:03:38";"118";"207";"35";"325";"98.0";
"10/22/2018 16:03:40";"122";"205";"35";"327";"97.9";
"10/22/2018 16:03:41";"127";"203";"35";"330";"97.9";
"10/22/2018 16:03:42";"136";"200";"34";"333";"97.9";
"10/22/2018 16:03:43";"141";"199";"34";"340";"97.9";
"10/22/2018 16:03:44";"141";"197";"34";"338";"97.9";
"10/22/2018 16:03:45";"146";"195";"34";"341";"97.9";
"10/22/2018 16:03:46";"151";"195";"34";"346";"97.8";
"10/22/2018 16:03:47";"157";"194";"34";"351";"97.8";
"10/22/2018 16:03:48";"162";"192";"32";"354";"97.8";
"10/22/2018 16:03:49";"162";"192";"32";"354";"97.8";
"10/22/2018 16:03:50";"172";"189";"32";"361";"97.8";
"10/22/2018 16:03:52";"177";"188";"32";"365";"97.8";
"10/22/2018 16:03:53";"182";"186";"32";"368";"97.8";
"10/22/2018 16:03:54";"192";"183";"31";"371";"97.8";
"10/22/2018 16:03:55";"197";"181";"31";"378";"97.8";
"10/22/2018 16:03:56";"202";"179";"31";"381";"97.7";
"10/22/2018 16:03:57";"207";"178";"31";"385";"97.6";
"10/22/2018 16:03:58";"207";"176";"31";"383";"97.5";
"10/22/2018 16:03:59";"211";"174";"29";"385";"97.4";
"10/22/2018 16:04:00";"216";"173";"29";"389";"97.4";
"10/22/2018 16:04:01";"221";"173";"28";"394";"97.4";
"10/22/2018 16:04:02";"221";"173";"28";"394";"97.4";
"10/22/2018 16:04:03";"230";"169";"28";"399";"97.4";
