
"Time";"NO";"NO2";"CO";"NOx";"PumpFlow";
"10/9/2018 12:31:44";"0";"0";"0";"0";"102.6";
"10/9/2018 12:31:45";"0";"0";"0";"0";"102.6";
"10/9/2018 12:31:46";"0";"0";"0";"0";"102.6";
"10/9/2018 12:31:47";"0";"0";"0";"0";"102.6";
"10/9/2018 12:31:48";"0";"0";"0";"0";"102.7";
"10/9/2018 12:31:49";"0";"0";"0";"0";"102.7";
"10/9/2018 12:31:50";"0";"0";"0";"0";"102.6";
"10/9/2018 12:31:52";"0";"0";"0";"0";"102.6";
"10/9/2018 12:31:53";"0";"0";"0";"0";"102.6";
"10/9/2018 12:31:54";"0";"0";"0";"0";"102.5";
"10/9/2018 12:31:55";"0";"0";"0";"0";"102.5";
"10/9/2018 12:31:56";"0";"0";"0";"0";"102.4";
"10/9/2018 12:31:57";"0";"0";"0";"0";"102.4";
"10/9/2018 12:31:58";"0";"0";"0";"0";"102.4";
"10/9/2018 12:31:59";"0";"0";"0";"0";"102.4";
"10/9/2018 12:32:00";"0";"0";"0";"0";"102.3";
"10/9/2018 12:32:01";"0";"0";"0";"0";"102.2";
"10/9/2018 12:32:02";"0";"0";"0";"0";"102.1";
"10/9/2018 12:32:03";"0";"0";"0";"0";"102.1";
"10/9/2018 12:32:05";"0";"0";"0";"0";"102.2";
"10/9/2018 12:32:06";"0";"0";"0";"0";"102.1";
"10/9/2018 12:32:07";"0";"0";"0";"0";"101.7";
"10/9/2018 12:32:08";"0";"0";"0";"0";"100.7";
"10/9/2018 12:32:09";"0";"0";"0";"0";"99.3";
"10/9/2018 12:32:10";"0";"0";"0";"0";"97.4";
"10/9/2018 12:32:11";"0";"0";"0";"0";"95.3";
"10/9/2018 12:32:12";"0";"0";"0";"0";"93.3";
"10/9/2018 12:32:13";"0";"0";"0";"0";"91.4";
"10/9/2018 12:32:14";"0";"0";"0";"0";"89.6";
"10/9/2018 12:32:15";"0";"0";"0";"0";"87.9";
"10/9/2018 12:32:16";"0";"0";"0";"0";"86.3";
"10/9/2018 12:32:17";"0";"0";"0";"0";"83.3";
"10/9/2018 12:32:19";"0";"0";"0";"0";"81.9";
"10/9/2018 12:32:20";"0";"0";"0";"0";"80.6";
